id,company_id,sector,emtak,name,phone,email,www
1975,76,"Elamute ja mitteeluhoonete ehitus",41001,"10 milli OÜ","+372 55522088",paulreinula@gmail.com,
2340,407,"Elamute ja mitteeluhoonete ehitus",41001,"2025 Ehitus OÜ",,jannosulp@gmail.com,
2855,873,"Elamute ja mitteeluhoonete ehitus",41001,"3K Teenused OÜ","+372 56249430",Info@3kteenused.ee,
3007,1015,"Elamute ja mitteeluhoonete ehitus",41001,"4EST Ehitus OÜ","+372 5257353",einar.tamme@gmail.com,
3249,1231,"Elamute ja mitteeluhoonete ehitus",41001,"6060 NORD OÜ",,6060nord@gmail.com,
3969,1868,"Elamute ja mitteeluhoonete ehitus",41001,"AMF Corporation OÜ",,yllar.yprus@gmail.com,
4279,2145,"Elamute ja mitteeluhoonete ehitus",41001,"AMN Disain OÜ","+372 5501996",martin456@gmail.com,
4482,2319,"Elamute ja mitteeluhoonete ehitus",41001,"amrok OÜ",,Ainarmartinson@gmail.com,
4559,2384,"Elamute ja mitteeluhoonete ehitus",41001,"Amtio Ehitus OÜ","+372 5148891",amtioehitus@gmail.com,
4986,2772,"Elamute ja mitteeluhoonete ehitus",41001,"Anderkla OÜ","+372 59266538",andresklaas2@gmail.com,
5019,2804,"Elamute ja mitteeluhoonete ehitus",41001,"Andfort Grupp OÜ",,andfortou@gmail.com,
7559,5196,"Elamute ja mitteeluhoonete ehitus",41001,"Anta teenused OÜ","+372 58235513",hindriksooandres@gmail.com,
8420,6061,"Elamute ja mitteeluhoonete ehitus",41001,"APART FIX OÜ","+372 55938470",MIKKMICHELSONEHITUS@GMAIL.COM,
8535,6165,"Elamute ja mitteeluhoonete ehitus",41001,"Apexcraft OÜ",,jaatmehaldusteosauhing@gmail.com,
8566,6193,"Elamute ja mitteeluhoonete ehitus",41001,"ApexTeam OÜ",,kark407@hotmail.com,
8578,6205,"Elamute ja mitteeluhoonete ehitus",41001,"A&P Grupp OÜ","+372 53316084",info@apgrupp.ee,
8932,6529,"Elamute ja mitteeluhoonete ehitus",41001,"APR Ehitus OÜ","+372 5641387",argoprits@gmail.com,
8991,6579,"Elamute ja mitteeluhoonete ehitus",41001,"Apsaniin OÜ",,Apsaniinou@gmail.com,
9468,6981,"Elamute ja mitteeluhoonete ehitus",41001,"ArBrofi OÜ","+372 55903425",arbrofi.ou@gmail.com,
